物件番号,日付,件名,地名地番,住居表示,構造,階数（地上）,階数（地下）,延床面積,敷地面積,建築主,建築主住所,設計者,施工者,着工,完成,備考
10096386,2025/02/06,(仮称)中央区北長狭通5丁目新築工事,兵庫県神戸市中央区北長狭通5-3-2ほか,兵庫県神戸市中央区北長狭通5丁目,鉄筋コンクリート造,13 階,階,2026.81 ㎡,441.74 ㎡,ミサワホーム株式会社、和田興産株式会社,東京都新宿区西新宿2-4-1、兵庫県神戸市中央区栄町通4-2-13,株式会社イサラ・デザイン,未定,2025/03/25,2026/08/31,共同住宅(ワンルーム36戸、ファミリー24戸)
10096350,2025/02/06,(仮称)神戸市中央区脇浜町3丁目新築工事,兵庫県神戸市中央区脇浜町3-391,兵庫県神戸市中央区脇浜町3,鉄筋コンクリート造,13 階,階,2853.81 ㎡,631.85 ㎡,株式会社日商エステム,大阪府大阪市中央区南船場2-9-14,株式会社ヒカリエンヂニアリング一級建築士事務所,未定,2025/03/30,2027/01/30,共同住宅(ワンルーム96戸)
10096273,2025/02/10,(仮称)浪速区稲荷2丁目プロジェクト新築工事,大阪府大阪市浪速区稲荷2-6-6ほか,大阪府大阪市浪速区稲荷2,鉄筋コンクリート造,9 階,階,2508.56 ㎡,764.72 ㎡,株式会社シティトラスト不動産,大阪府大阪市西区阿波座1-15-18,生和コーポレーション株式会社一級建築士事務所,生和コーポレーション株式会社,2025/04/15,2026/07/15,共同住宅
10096265,2025/03/10,京都市標識設置情報,京都府京都市中京区壬生下溝町38-9,京都府京都市中京区壬生下溝町,,5 階,階,997.75 ㎡,451.65 ㎡,,,株式会社A-Studio一級建築士事務所,,,,共同住宅(賃貸、40戸)
10096234,2025/01/30,(仮称)神戸市東灘区甲南町4丁目計画,兵庫県神戸市東灘区甲南町4-63-10,兵庫県神戸市東灘区甲南町4-12,鉄筋コンクリート造,11 階,階,834.08 ㎡,175.48 ㎡,株式会社日商エステム,大阪府大阪市中央区南船場2-9-14,株式会社平岡建築設計室一級建築士事務所,未定,2025/03/28,2026/11/05,共同住宅(ファミリー20戸)
10096237,2025/01/30,神戸市標識設置情報,兵庫県神戸市東灘区岡本1-134-8ほか,兵庫県神戸市東灘区岡本1,木造,3 階,階,600.74 ㎡,482.19 ㎡,,,住友林業株式会社住宅事業本部関西支社一級建築士事務所,住友林業株式会社住宅事業本部関西支社,2025/03/03,2025/08/20,共同住宅(ファミリー11戸)
10096193,2025/02/07,(仮称)プレサンスロジェ東住吉区南田辺一丁目新築工事,大阪府大阪市東住吉区南田辺1-21-11,大阪府大阪市東住吉区南田辺1,鉄筋コンクリート造,10 階,階,1594.67 ㎡,400.63 ㎡,株式会社プレサンスコーポレーション,大阪府大阪市中央区城見1-2-27,株式会社イサラ･デザイン,未定,2025/05/01,2026/12/15,共同住宅
10096192,2025/02/07,(仮称)淀川区塚本一丁目新築工事,大阪府大阪市淀川区塚本1-71-1,大阪府大阪市淀川区塚本1,鉄筋コンクリート造,10 階,階,1500.01 ㎡,288.82 ㎡,株式会社日本レジデンシャル,大阪府大阪市西区江戸堀1-9-6,株式会社アワービルダー一級建築士事務所,株式会社アワービルダー,2025/03/27,2026/04/30,共同住宅
10096191,2025/02/05,(仮称)大阪市浪速区桜川1丁目PJ新築工事,大阪府大阪市浪速区桜川1-4-1ほか,大阪府大阪市浪速区桜川1,鉄筋コンクリート造,12 階,階,2787.8 ㎡,378.96 ㎡,,,積水ハウス株式会社西日本特建支店一級建築士事務所,積水ハウス株式会社西日本特建支店,2025/06/23,2027/02/26,店舗付共同住宅
10096190,2025/02/05,(仮称)港区夕凪1丁目PJ新築工事,大阪府大阪市港区夕凪1-15-1ほか,大阪府大阪市港区夕凪1,鉄筋コンクリート造,10 階,階,1594.1 ㎡,369.97 ㎡,株式会社シティトラスト不動産,大阪府大阪市西区阿波座1-15-18,有限会社デルフィ一級建築士事務所,未定,2025/03/30,2026/04/30,共同住宅
